Epoch,Train Loss,Soft Loss,Hard Loss,Val Loss,Val Accuracy (%)
1,0.6696,0.8029,0.3585,0.3252,91.16
2,0.3388,0.3905,0.2183,0.3283,91.68
3,0.2129,0.2404,0.1487,0.3579,91.96
