Epoch,Train Loss,Soft Loss,Hard Loss,Val Loss,Val Accuracy (%)
1,0.7884,0.9542,0.4016,0.2887,90.56
2,0.4093,0.4733,0.2601,0.3756,90.48
3,0.2958,0.3359,0.2021,0.3496,91.12
