Epoch,Train Loss,Soft Loss,Hard Loss,Val Loss,Val Accuracy (%)
1,1.0827,1.3373,0.4885,0.4786,82.40
2,0.6894,0.8254,0.3721,0.3864,87.08
3,0.5616,0.6661,0.3177,0.4185,87.36
